id,english,google_translate_sundanese
0,"Available now, 5 brand new lunch boxes from Kotak Makan Yooyee, anti-leak lunch box 590","Sadia ayeuna, 5 kotak dahar beurang anyar tina Kotak Makan Yooyee, kotak dahar beurang anti bocor 590"
1,"Near the hotel I stayed in, reachable by foor, so many food choice here, the place is huge, and fun","Deukeut hotél kuring cicing, tiasa dicapai ku jalan kaki, seueur pilihan tuangeun di dieu, tempatna ageung, sareng pikaresepeun"
2,"Yeah that's right, he's looking after the store now","Hehehehe éta leres, anjeunna nuju ngurus toko ayeuna"
3,The water spinach was alright but the crab with Padang sauce was disappointing. We were given a hollow crab. In the end we decided not to eat the crab and returned it.,Kangkung cai henteu kunanaon tapi keuyeup sareng saos Padang nguciwakeun. Kami dibere keuyeup kerung. Tungtungna urang mutuskeun teu dahar yuyu jeung balik deui.
4,"Located inside the Braga City Walk, which is in the same building as Aston and Fave Hotel, this is the perfect hangout spot. The coffee-tea mix that I tried for the first time was actually amazing. Combined with a sunny-side up egg and you got yourself the perfect meal for chatting with your friends. The smoke-free zone just adds to the comforting feeling as you watch the view of people coming and going in this mall","Lokasina di jero Braga City Walk, anu aya di gedong anu sami sareng Aston sareng Fave Hotel, ieu mangrupikeun tempat nongkrong anu sampurna. Campuran kopi-teh anu ku kuring dicoba pikeun kahiji kalina saleresna luar biasa. Digabungkeun sareng endog anu cerah sareng anjeun ngagaduhan tuangeun anu sampurna pikeun ngobrol sareng réréncangan anjeun. Zona bébas haseup ngan nambahan rarasaan comforting nalika anjeun ningali pintonan jalma datang jeung balik di mall ieu"
5,"Gianyar recieved a total 44,9 billion Rupiah from government support in 2018","Gianyar nampi total 44,9 milyar Rupiah tina dukungan pamaréntah dina taun 2018"
6,"This is an example of a useless generation. Rather than being beneficial for our country, it instead becomes something that threatens it! Great job, just arrest them using UU ITE","Ieu mangrupikeun conto generasi anu teu aya gunana. Ti batan mangpaat pikeun nagara urang, malah jadi hiji hal anu ngancam eta! Hadé pisan, tangkep waé nganggo UU ITE"
7,"Good afternoon friends, we are currently conducting a maintenance, so the app is currently inaccessable.","Wilujeng siang rerencangan, ayeuna urang nuju ngalaksanakeun pangropéa, janten aplikasina ayeuna teu tiasa diaksés."
8,"True, we are indeed weak, I'm also actually a scaredy-cat.","Leres, kami memang lemah, kuring ogé sabenerna ucing-ucingan."
9,"Last time I was in Hanamasa the price was 120 thousand / person. But I think you'll get more than your money's worth. You can pick all the food you want, and the taste won't disappoint, you can even mix and match your own ideal meal. If you love beef, you'll love it here","Kapungkur abdi di Hanamasa hargana 120 rebu/jalma. Tapi kuring pikir anjeun bakal kéngingkeun langkung seueur tibatan artos anjeun. Anjeun tiasa milih sagala dahareun rék, sarta rasa moal nguciwakeun, anjeun malah bisa nyampur jeung cocog hidangan idéal anjeun sorangan. Upami anjeun resep daging sapi, anjeun bakal resep di dieu"
10,"Getting to The Peak might feel so far away from the city centre of Bandung, and the access can be rather confusing, especially the small road with lots of twists and turns. However, your chances of being lost is slim because there are signages in almost every turn leading up to The Peak. The place is very good for those looking for a romantic night vibe, with a breathtaking view of the city at night.","Nepi ka Puncak bisa jadi karasa jauh ti puseur dayeuh Bandung, jeung aksésna rada ngabingungkeun, utamana jalan leutik nu loba tikungan jeung belokan. Sanajan kitu, kasempetan Anjeun leungit téh langsing sabab aya signages di ampir unggal péngkolan ngarah nepi ka The Puncak. Tempatna saé pisan pikeun anu milari suasana wengi anu romantis, kalayan pandangan kota anu narik ati dina wengi."
11,Kebun Raya bogor can be one of the travel destinations,Kebun Raya bogor tiasa janten salah sahiji tujuan wisata
12,"The Peak is located near Lembang in the breezy highlands of Bandung, which is ideal, but you'll have to go through quite a winding and steep road, with sharp turns along the way. Driving here at night or while raining is not recommended. In The Peak, there's a restaurant with a beautiful hillside view of Bandung city, but the meals are very expensive and not at all worth the price.","Puncak lokasina deukeut Lembang di dataran luhur breezy Bandung, nu idéal, tapi anjeun bakal kudu ngaliwatan jalan rada pungkal tur lungkawing, kalawan péngkolan seukeut sapanjang jalan. Nyetir didieu peuting atawa bari hujan teu dianjurkeun. Di Puncak, aya réstoran sareng pamandangan lereng bukit kota Bandung anu éndah, tapi tuangeunana mahal pisan sareng henteu saluyu sareng hargana."
13,I'm never using Lion Air services ever again.,Abdi henteu kantos nganggo jasa Lion Air deui.
14,There are many things we can do in our spare time,Aya seueur hal anu tiasa urang laksanakeun dina waktos senggang
15,Gettin' more apathetic each time I report stuff like this. Cuz even after last week they still haven't worked on it. Empty promises after empty promises.,Gettin 'langkung apatis unggal waktos kuring ngalaporkeun barang sapertos kieu. Cuz bahkan saatos minggu kamari aranjeunna masih henteu acan damel. Janji kosong saatos janji kosong.
16,"Price off the roof for an eenie-meenie portion, I can't promise coming back a second time. Cooking's not even that different from my ma's!","Harga kaluar hateup pikeun porsi eenie-meenie, Abdi teu bisa janji datang deui kadua kalina. Masak malah teu béda ti Ma!"
17,"I don't get why this restaurant is ranked 12th out of 1800-ish restaurants in Jakarta. So expensive! The location is hidden, and the food is so-so. Don't blindly trust misleading reviews.","Abdi henteu ngartos naha réstoran ieu rengking ka-12 tina 1800-an réstoran di Jakarta. Mahal pisan! Lokasina disumputkeun, sareng tuangeunana. Entong percanten kana ulasan anu nyasabkeun."
18,An explosion during a protest in Afghanistan killed 68 people,Ledakan nalika protés di Afghanistan nelasan 68 jalma
19,"I visited that restaurant together with my friends. Most of my friends were amazed to see the beautiful night view. I had the chance to try their imported steak, very tasty especially the sauce. Mmm yummy. If I have the chance, I'd like to come here again.","Abdi nganjang ka éta réstoran sareng réréncangan. Seuseueurna réréncangan kuring kagum ningali pemandangan wengi anu éndah. Kuring kungsi kasempetan pikeun nyobaan steak maranéhanana diimpor, ngeunah pisan utamana saos. Mmm ngeunah. Upami aya kasempetan, abdi hoyong ka dieu deui."
20,The road to Dusun Bambu can be travelled in around 1-2 hours by a private car. Try visiting Dusun Bambu around dusk because it's when we can clearly see the scenery and just in time for dinner.,"Jalan ka Dusun Bambu tiasa ditempuh kirang langkung 1-2 jam nganggo mobil pribadi. Coba nganjang ka Dusun Bambu kira-kira magrib, sabab éta nalika urang tiasa ningali jelas pamandangan sareng pas waktos tuangeun."
21,"The food is okay, just like the other Xo Suki branches. However, just because it's a national holiday like Eid doesn't mean that you can stop smiling or make us have to order over and over again to get our drinks and others . Please consider the customer's satisfications. Thanks.","Dahareun henteu kunanaon, sapertos dahan Xo Suki anu sanés. Nanging, ngan kusabab éta liburan nasional sapertos lebaran sanés hartosna anjeun tiasa ngeureunkeun seuri atanapi ngajantenkeun urang kedah mesen sakali-kali pikeun nyandak inuman sareng anu sanés. Mangga mertimbangkeun satisifications customer urang. hatur nuhun."
22,"This restaurant is the prime culinary destination if you're going to Bandung. Aside from the exceptionally delicious Sundanese menu, this restaurant is also built on the basis of a relaxing meal time in a saung surrounded by the woods and mountains accompanied by shady trees and splashing sounds of river water, giving you an all-around impressive culinary experience. Must-try for anyone visiting Bandung.","Réstoran ieu mangrupikeun tujuan kuliner utama upami anjeun badé ka Bandung. Salian ti menu Sunda anu luar biasa nikmat, réstoran ieu ogé diwangun dumasar kana waktos tuang anu santai di saung anu dikurilingan ku leuweung sareng gunung dibarung ku tatangkalan rindang sareng sora cai walungan, masihan anjeun pangalaman kuliner anu pikaresepeun. Kedah dicobian kanggo saha waé anu nganjang ka Bandung."
23,Activating my Indosat data plan again because I got access to unlimited YouTube,Aktipkeun deui rencana data Indosat kuring kusabab kuring ngagaduhan aksés kana YouTube anu henteu terbatas
24,I just met my friend who works at Trans TV,Karek pendak sareng rerencangan abdi anu damel di Trans TV
25,"This restaurant in Anggrek Street has a unique and varied selection of seafood, some are even living and can be cooked on demand. The dish variety and the short wait time certainly won't leave us starving for too long. The steamed grouper is especially delicious and flavourful, even more so if cooked while the fish is still fresh. The place is pretty breezy, and the price is reasonable.","Réstoran anu aya di Jalan Anggrek ieu ngagaduhan pilihan seafood anu unik sareng variatif, malah aya anu hirup sareng tiasa dimasak upami diperyogikeun. Rupa-rupa piring sareng waktos ngantosan anu pondok pasti moal ngantep urang kalaparan salami lami. Kerapu kukus utamana nikmat jeung seungit, komo deui lamun asak bari laukna masih seger. Tempatna lumayan angin, sareng hargana lumayan."
26,"As usual, we always look for a unique culinary experience like no other, and we found this place called Padma Hotel Restaurant. We ordered the available menu. There was Indonesian, Eurpean, and Chinese food, and all of them tasted great.","Sakumaha biasa, urang salawasna néangan hiji pangalaman kuliner unik kawas euweuh séjén, sarta kami kapanggih tempat ieu disebut Padma Hotel Rumah Makan. Urang maréntahkeun menu sadia. Aya kadaharan Indonésia, Ã‰ropa, jeung Cina, sarta sakabéh éta ngeunah pisan."
27,"Yeah, that's the thing that makes me mad. This is not the fault of the applicant but 100% the fault of the higher-ups who God knows how they even coordinate. It's heart-wrenching for me even though this is a case from my friend in Lampung.","Hehehehe, éta hal anu ngajadikeun kuring gélo. Ieu sanes lepat pelamar tapi 100% lepat ti luhur-up anu Gusti terang kumaha aranjeunna malah koordinat. Sakitu manah najan ieu pasualan ti rerencangan urang Lampung."
28,"Service may take a bit long, but the atmosphere is cool and unique, so we can enjoy ith while waiting for the food. The menu is varied and delicious","Service bisa nyandak rada lila, tapi atmosfir tiis tur unik, sangkan bisa ngarasakeun ith bari ngantosan dahareun. menu nu variatif jeung nikmat"
29,The food here is delicious with many varieties. Everything is delicious with good scenery. Maximum service from Miss Diah and Miss Gina from start to finish. Very well served,Dahareun di dieu téh nikmat jeung loba variétas. Sagalana nikmat kalayan tetempoan alus. Palayanan maksimal ti Bu Diah sareng Bu Gina ti mimiti dugi ka rengse. Dilayanan pisan
